epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2061,1.41153,1.72239,1.07702,0.93681,0.16817,0.49955,0.27691,1.32528,2.14238,1.02068,0.000471266,0.000471266,0.000471266
2,181.848,1.26791,1.05426,1.03839,0.5819,0.50846,0.5274,0.2949,1.2304,0.96913,1.02111,0.000885058,0.000885058,0.000885058
3,269.138,1.26385,0.95886,1.04545,0.62238,0.48868,0.52897,0.29826,1.23224,0.94443,1.05663,0.00123597,0.00123597,0.00123597
4,355.543,1.21483,0.87202,1.03227,0.67453,0.55533,0.61206,0.35208,1.17242,0.81632,1.04092,0.00114606,0.00114606,0.00114606
5,440.587,1.16688,0.80365,1.01489,0.75964,0.5571,0.64035,0.37081,1.12085,0.75834,1.01902,0.00105174,0.00105174,0.00105174
6,530.744,1.15855,0.80188,1.0205,0.73522,0.5523,0.63249,0.36523,1.11264,0.76005,1.00808,0.00095743,0.00095743,0.00095743
7,614.126,1.12588,0.75324,1.00719,0.74586,0.60292,0.67799,0.3985,1.09094,0.71603,1.00816,0.000863116,0.000863116,0.000863116
8,698.428,1.08585,0.72028,0.99256,0.79277,0.56637,0.67718,0.40491,1.05801,0.70472,1.00106,0.000768802,0.000768802,0.000768802
9,782.005,1.05868,0.69473,0.9825,0.73984,0.60924,0.68117,0.40817,1.03197,0.68933,0.98698,0.000674488,0.000674488,0.000674488
10,864.376,1.03369,0.66538,0.97333,0.80815,0.63863,0.7196,0.44221,1.02441,0.65178,0.98314,0.000580174,0.000580174,0.000580174
11,947.115,1.01312,0.64629,0.96672,0.79745,0.65382,0.72784,0.45065,0.97462,0.61704,0.96491,0.00048586,0.00048586,0.00048586
12,1028.24,0.98963,0.62691,0.95757,0.82099,0.637,0.73043,0.45586,0.98633,0.62629,0.9674,0.000391546,0.000391546,0.000391546
13,1110.67,0.96317,0.60385,0.94703,0.85744,0.65836,0.75446,0.47096,0.93771,0.58917,0.95537,0.000297232,0.000297232,0.000297232
14,1192.82,0.93374,0.5803,0.93776,0.85833,0.67659,0.77024,0.48608,0.91713,0.56929,0.94773,0.000202918,0.000202918,0.000202918
15,1276.4,0.90964,0.56532,0.93155,0.86802,0.66694,0.77112,0.49236,0.91637,0.56624,0.94572,0.000108604,0.000108604,0.000108604
