epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1645.79,0.54125,0.66711,0.10097,0.77769,0.66142,0.72386,0.4188,0.43508,0.44007,0.15263,0.000476015,0.000476015,0.000476015
2,3247.96,0.406,0.43775,0.06216,0.76725,0.67657,0.72962,0.42887,0.40213,0.45794,0.13556,0.000905207,0.000905207,0.000905207
3,4841.04,0.39186,0.43436,0.05889,0.78984,0.64704,0.73676,0.40552,0.46288,0.51379,0.18046,0.00128724,0.00128724,0.00128724
4,6428.78,0.35974,0.41464,0.05261,0.81138,0.67908,0.74461,0.43424,0.42276,0.43797,0.15672,0.00121679,0.00121679,0.00121679
5,8016.21,0.35643,0.41069,0.05149,0.80614,0.72826,0.77528,0.41433,0.46683,0.43704,0.17237,0.00114606,0.00114606,0.00114606
