epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,455.531,0.51522,1.86681,0.17275,0.66095,0.61322,0.64448,0.38049,0.40892,0.45958,0.13562,0.000475063,0.000475063,0.000475063
2,890.876,0.40536,0.47868,0.12248,0.78123,0.65782,0.73437,0.44303,0.36979,0.44283,0.11935,0.000857208,0.000857208,0.000857208
3,1323.94,0.37825,0.45876,0.11163,0.76491,0.66566,0.72443,0.46874,0.35178,0.43542,0.11453,0.00114504,0.00114504,0.00114504
